id,name,active
1,InvalidAnimTrigger,1
2,AlreadyAtFace,1
3,AudioOnlyHuh,1
4,BlackJack_Deal,1
5,BlackJack_GoodLuck,1
6,BlackJack_GetIn,1
7,BlackJack_Idle,1
8,BlackJack_Quit,1
9,BlackJack_Response,1
10,BlackJack_RtpIdle,1
11,BlackJack_RtpPlayerNo,1
12,BlackJack_RtpPlayerYes,1
13,BlackJack_RtpRequest,1
14,BlackJack_RtpTimeOut,1
15,BlackJack_SpeechGetIn,1
16,BlackJack_SpeechShortStatement,1
17,BlackJack_Spread,1
18,BlackJack_Swipe,1
19,BlackJack_VictorBlackJackLose,1
20,BlackJack_VictorBlackJackWin,1
21,BlackJack_VictorBust,1
22,BlackJack_VictorLose,1
23,BlackJack_VictorPush,1
24,BlackJack_VictorWin,1
25,BumpObjectSlowGetIn,1
26,BumpObjectSlowLoop,1
27,BumpObjectSlowGetOut,1
28,BumpObjectFastGetIn,1
29,BumpObjectFastLoop,1
30,BumpObjectFastGetOut,1
31,ChargerDockingAlreadyHere,1
32,ChargerDockingDrivingEnd,1
33,ChargerDockingDrivingLoop,1
34,ChargerDockingDrivingStart,1
35,ChargerDockingFailure,1
36,ChargerDockingLeftTurn,1
37,ChargerDockingRaiseLift,1
38,ChargerDockingRequest,1
39,ChargerDockingRequestGetout,1
40,ChargerDockingRequestPickup,1
41,ChargerDockingRequestWaitLoop,1
42,ChargerDockingRightTurn,1
43,ChargerDockingSearchAfterCompletedSearch,1
44,ChargerDockingSearchSingleTurn,1
45,ChargerDockingSearchSingleTurnEnd,1
46,ChargerDockingSearchWaitForImages,1
47,ChargerDockingSettle,1
48,ChargerDockingSevereRequest,1
49,ChargerDockingSevereRequestGetout,1
50,ChargerDockingSorryButLowBattery,1
51,ChargerReaction,1
52,ClockGetIn,1
53,ClockGetOut,1
54,ComeHereStart,1
55,ComeHereSuccess,1
56,ConnectWakeUp,1
57,ConnectWakeUpLights,1
58,ConnectToCubeFailure,1
59,ConnectToCubeGetIn,1
60,ConnectToCubeLoop,1
61,ConnectToCubeLostConnection,1
62,ConnectToCubeSuccess,1
63,CountingFastLoop,1
64,CountingGetInEven,1
65,CountingGetInOdd,1
66,CountingGetOut,1
67,CountingSlowLoop,1
68,CubePounceBackup,1
69,CubePounceDriveGetIn,1
70,CubePounceDriveLoop,1
71,CubePounceDriveGetOut,1
72,CubePounceFake,1
73,CubePounceGetIn,1
74,CubePounceGetOutBored,1
75,CubePounceGetReady,1
76,CubePounceGetUnready,1
77,CubePounceIdleLiftDown,1
78,CubePounceIdleLiftUp,1
79,CubePounceLoseHand,1
80,CubePounceLoseSession,1
81,CubePouncePounceClose,1
82,CubePouncePounceNormal,1
83,CubePounceReactToCube,1
84,CubePounceWinHand,1
85,CubePounceWinSession,1
86,DanceBeatCantDoThat,1
87,DanceBeatEyeHold,1
88,DanceBeatGetIn,1
89,DanceBeatGetOut,1
90,DanceBeatGetReady,1
91,DanceBeatListening,1
